标题,主题,内容
2020年4月上海自考第二周课程考试日程安排表.txt,"[{'专业': 1.0}, {'课程': 0.8850058328484522}, {'开考': 0.8501136666469943}, {'报考': 0.4267192877053135}, {'考生': 0.3830669272507799}]","　　说明：1. 带“★”专业为系统委托开考或与系统合作开考专业，具体报名办法请向专业主考学校询问。
　　2. 注有“停考过渡”字样的专业已停止接纳新考生报考，进入停考过渡期。
　　3. 带“*”课程为全国统考课程;带“▲”课程为华东区统考课程。红色字体为市级开考课程。
　　4. “英语”专业中的“教育学(一)”课程仅限在职教师报考。
　　5. 表中“独立本科段”、“专升本”专业开考的课程名称后加“(J)”者，为该专业不同类别考生的加考课程。
　　6. 根据相关文件精神，课程名称后加“(Z)”者，纳入 4 月和 10 月的自学考试整体开考计划，因此考试时间 调整为 2 小时 30 分钟。
"
2020年4月上海自考各专业课程考试日程安排表.txt,"[{'考试': 1.0}, {'进行': 0.7743685359280894}, {'考生': 0.6733504853883215}, {'专业课程': 0.6326133055737359}, {'自学': 0.5416222302712076}]","　　问：2020年4月上海自考各专业课程考试日程是怎么安排的?
　　答：根据全国考委高等教育自学考试专业课程开考安排的有关规定，结合上海的实际情况，现将《2020年4月上海市高等教育自学考试各专业课程考试日程安排表》印发给你们，请遵照执行。
　　附件：
　　2020年4月上海市高等教育自学考试各专业课程考试日程安排表(第一周)
　　2020年4月上海市高等教育自学考试各专业课程考试日程安排表(第二周)
　　关注【微信公众号】届时会及时通知各位考生进行报名、打印准考证，成绩查询入口开通等等重要时间点!
　　另外，若还有什么问题不是很清楚，可是加入【微信交流群】与其他考生进行交流，群里会有专业老师进行解答;也可直接【点击咨询】在线老师，会为各位考生就学历提升问题解疑答惑。
"
2020年4月上海自考第一周课程考试日程安排表.txt,"[{'专业': 1.0}, {'课程': 0.8842364167950975}, {'开考': 0.8548026521582351}, {'报考': 0.42596825118728016}, {'考生': 0.3824930243309114}]","　　说明：
　　1. 带“★”专业为系统委托开考或与系统合作开考专业，具体报名办法请向专业主考学校询问。
　　2. 注有“停考过渡”字样的专业已停止接纳新考生报考，进入停考过渡期。
　　3. 带“*”课程为全国统考课程;带“▲”课程为华东区统考课程。红色字体为市级开考课程。
　　4. “英语”专业中的“教育学(一)”课程仅限在职教师报考。
　　5. 表中“独立本科段”、“专升本”专业开考的课程名称后加“(J)”者，为该专业不同类别考生的加考课程。
　　6. 根据相关文件精神，课程名称后加“(Z)”者，纳入 4 月和 10 月的自学考试整体开考计划，因此考试时间
　　调整为 2 小时 30 分钟。
"
2020年上半年上海自学考试报名时间.txt,"[{'报名': 1.0}, {'考生': 0.7558588165927832}, {'进行': 0.711309899563066}, {'考试': 0.6766850087787372}, {'上海': 0.564518084546901}]","　　根据公告公示可知，2020年4月上海自考在2月24日~3月2日进行网上报名。
　　其中2月24日至3月1日(8:30~22:00)接受考生网上报名报考及付费，3月2日8:30~17:00仅接受考生网上付费。
　　届时，考生可登录(www.shmeea.edu.cn)，点击首页“考试报名”栏目进入，也可通过以下报名入口进行跳转，直接进入报名系统。
【上海自考报名入口】
　　第一周考试时间：2020年4月11日-12日
　　第二周考试时间：2020年4月18日-19日
　　注：上海自学考试的任何时间都以市教育考试院公布为准!
　　相关阅读：
　　2020年4月上海自考统课程教材考纲书目表
　　2020年4月上海自考专业课程考试日程安排
　　温馨提示：
　　若还有什么问题不是很清楚，可以加入【微信交流群】与其他考生进行交流，群里会有专业老师进行解答;也可直接【点击咨询】在线老师，会为各位考生就学历提升问题解疑答惑;
　　关注【微信公众号】届时会及时通知各位考生进行报名、打印准考证，考试等等重要时间点!
"
上海自考从注册报名到毕业领证总流程.txt,"[{'考试': 1.0}, {'申请': 0.8855753007630836}, {'时间': 0.765633821170797}, {'毕业': 0.6632255774997922}, {'科目': 0.5726538301742236}]","　　注：部分专业由于报考人数少，学习资料可能仅有官方指定的书籍。
　　主考专业：http://www.shzkw.org/shzkzy/
　　注册报名
　　新生注册没有学历要求，如果报考本科请确认自己有专科前置学历，或能在自考本科申请毕业之前，拿到国家承认的专科学历(高中以下学历学生，可以选择成考或网教专科+自考本科方式考本科)。
　　4月份考试网上报名从2月底—3月初，10月份考试网上报名是8月底—9月初。根据考试安排选择报考科目，同一时间段只能选择一个科目进行考试，可以考3~7门科目,考试报名费用45元一科。
　　报名入口：http://www.shzkw.org/shzkbmxt/
　　准考证打印
　　考试前一周左右的时间，开放准考证打印端口，准考证上会有考生所需要的考试信息，准考证可以多打印几份，以免丢失。
　　准考证打印入口：http://www.shzkw.org/shzktzd/
　　考试安排
　　时间安排在4月和10月，具体考试时间以教育考试院为准，具体时间一般是09:00-11:30，14:30-17:00。
　　注：参考只允许携带钢笔、圆珠笔、2B铅笔、圆规、直尺、三角板、橡皮等必需的文具。严禁携带各种通讯工具进入考场，开考15分钟后将禁止考生进场。
　　成绩查询
　　每次考试的报考通知里都有具体的成绩发布时间，一般是4月份考试在6月1日查询成绩，10月份考试在 12月1日开始查询成绩，具体时间以教育考试院为准。
　　如果对考生对考试成绩有异议，可在规定时间内(具体时间以各院校公布为准)向相关部门申请成绩复核，超过时间申请无效。
　　成绩查询入口：http://www.shzkw.org/shcjcx/
　　毕业考核
　　实践课和论文不同主考院校对申请条件规定也不同，一般是达到主考院校的学分要求，并且必考科目全部通过(及格分数一般是60分)。
　　当考过所有科目，并完成毕业论文或者社会实践，即可申请毕业。毕业申请时间一般为5月底、11月底。在申请时间登陆网上系统，填写个人信息申请毕业。
　　初步审核通过后，携带身份证到当地自学考试办公室领取毕业生登记表，填写个人鉴定，单位填写意见并盖章，然后将毕业生登记表、照片、其他毕业申请材料交给自学考试办公室，完成申请。
　　领取证书
　　在教育考试院复审通过后，会安排毕业证书制作，一般在申请提交后2个月左右可以到主考院校领取毕业证。
　　以上是上海自考报名到毕业流程，想了解自考最新动态的，或者是学历提升不懂的考生，可以关注上海自考微信公众号，关注微信交流群。
"
2020年4月上海自考报名条件.txt,"[{'进行': 1.0}, {'考试': 0.7962045766431118}, {'报名': 0.7725119413209206}, {'考生': 0.6100006550653363}, {'上海市': 0.5787825179909233}]","　　2020年4月份上海市高等教育自学考试报名条件严格按照《关于颁发<高等教育自学考试考务、考籍管理工作规则>的通知》(考委〔1998〕7号)的规定执行。
　　2020年4月上海自考报名时间预计在2月21日至3月3日左右。登录上海市教育考试院官网进行网上报名。
　　若还有什么问题不是很清楚，可是加入【微信交流群】与其他考生进行交流，群里会有专业老师进行解答;也可直接【点击咨询】在线老师，会为各位考生就学历提升问题解疑答惑;关注【微信公众号】届时会及时通知各位考生进行报名、打印准考证，考试等等重要时间点!
"
2020年4月上海自考报名流程.txt,"[{'考生': 1.0}, {'报名': 0.7117814982849052}, {'信息': 0.3317614745466916}, {'进行': 0.3063744095142483}, {'考试': 0.26667778329179564}]","　　相关文章阅读：2019年10月上海自考报名系统操作手册(具体报名流程)
　　一、自考报名流程：
　　1、新生报名流程：未参加过上海市高等教育自学考试的新考生(以下简称“新考生”)
　　(1)注册账号。
　　(2)选择准备报考的主考学校和专业。
　　(3)仔细阅读并同意《考生诚信承诺书》。
　　(4)填写报名信息并上传符合要求的近半年内的本人照片。
　　(5)若报名信息认证未能通过，考生根据系统返回的不通过原因重新操作。若报名信息认证通过，系统向考生绑定的手机发送动态确认码，考生输入动态确认码后进入下一步。
　　(6)选择远郊考区意向(可选)，报考课程。
　　(7)网上付费。
　　2、老考生报名流程：已参加过上海市高等教育自学考试的老考生(以下简称“老考生”)
　　(1)使用证件号(身份证、港澳台胞证、外国人永久居留证)或准考证号登录(从未登录过的老考生初始密码为证件号的后六位)。忘记登录密码可通过邮件或者短信找回密码。
　　(2)仔细阅读并同意《考生诚信承诺书》。
　　(3)补充填写报名信息。
　　(4)系统向考生绑定的手机发送动态确认码，考生输入动态确认码后进入下一步。
　　(5)选择远郊考区意向(可选)，报考课程。
　　(6)网上付费。
　　注：从2018年下半年起，上海市高等教育自学考试报名取消考生现场确认环节，改为通过网上报名信息认证对考生进行身份确认。
　　若还有什么问题不是很清楚，可是加入【微信交流群】与其他考生进行交流，群里会有专业老师进行解答;也可直接【点击咨询】在线老师，会为各位考生就学历提升问题解疑答惑;关注【微信公众号】届时会及时通知各位考生进行报名、打印准考证，考试等等重要时间点!
"
2020年上半年上海自学考试报名时间推迟通知.txt,"[{'工作': 1.0}, {'考试': 0.9715871845269733}, {'自学': 0.9313766723921401}, {'相关': 0.8118784622051919}, {'时间': 0.7513611542777998}]","　　【导读】最近疫情防控正是关键时刻，上海市教育考试院发布了关于2020年上半年上海自学考试报名时间推迟及考籍管理相关工作调整的通知，特转发告知各位考生，具体内容如下：
　　根据近期中央、教育部、上海市委市政府关于切实做好当前新型冠状病毒感染的肺炎疫情防控的工作要求，为切实保障广大考生的生命安全和身体健康，维护社会正常秩序，公平公正开展本市自学考试相关工作，经研究决定，对2020年第76次上海市高等教育自学考试报名及考籍管理相关工作做如下调整：
　　一、原定于2020年2月24日至3月2日进行的第76次上海市高等教育自学考试网上报名工作推迟，具体时间将另行通知，请广大考生持续关注我院官方网站“上海招考热线”(www.shmeea.edu.cn)发布的相关后续信息。
　　二、2020年上半年自学考试考籍转出工作暂缓，请考生密切关注我院和主考学校进一步通知。
　　三、暂停自学考试相关纸质证明材料现场受理接待工作，恢复接待时间视疫情形势变化另行通知。手续齐全且需要办理学历证明的考生，可自行通过中国高等教育学生信息网(http://www.chsi.com.cn)线上申请学历认证。
　　四、原定于4月11日至12日、18日至19日举行的第76次上海市高等教育自学考试时间是否延期，以教育部和我院发布的公告为准。
　　以上工作内容和时间安排若教育部、上海市政府有最新通知，我院将做进一步调整。请广大考生密切关注我院以及主考学校的官方网站或微信公众号，感谢大家的理解和支持。
　　上海市教育考试院
　　2020年2月20日
"
2020年4月份上海自考报名时间.txt,"[{'报名': 1.0}, {'进行': 0.8688922149201841}, {'上海': 0.823432377511214}, {'自考': 0.6820946720121998}, {'关注': 0.6245740951776364}]","　　2020年4月上海自考报名时间：预计为2月24日至3月2日左右报名，具体时间以考试院公布为准，可以通过上海自考报名入口进入系统进行报名。
　　更多上海自考信息敬请关注上海自考网。
　　若还有什么问题不是很清楚，可是加入【微信交流群】与其他考生进行交流，群里会有专业老师进行解答;也可直接【点击咨询】在线老师，会为各位考生就学历提升问题解疑答惑;关注【微信公众号】届时会及时通知各位考生进行报名、打印准考证，考试等等重要时间点!
"
2020年4月上海自学考试及相关工作延期通知.txt,"[{'考试': 1.0}, {'自学': 0.6864092551664498}, {'延期': 0.5485915893396761}, {'考籍': 0.5005604532306348}, {'管理': 0.46678761308421945}]","　　根据教育部《关于2020年4月全国高等教育自学考试延期举行的公告》精神，经决定，原定于2020年4月11日、12日、18日、19日举行的第76次上海市高等教育自学考试理论课考试、上半年的实践类考试、上半年的毕业论文答辩和毕业申报均延期举行。
　　原已公告延期的自学考试报名及考籍管理等工作继续延期。(详见《关于2020年第76次上海市高等教育自学考试报名时间推迟及考籍管理相关工作调整的通知》)
　　请广大考生密切关注我院以及主考学校的官方网站或微信公众号，感谢大家的理解和支持。
　　上海市教育考试院
　　2020年2月28日
"
2020年4月上海自考报名方式.txt,"[{'进行': 1.0}, {'考生': 0.8456640165376158}, {'报名': 0.8153558695496925}, {'问题': 0.6991816338884284}, {'老师': 0.6139262579901349}]",">>>上海自考报名系统<<<
　　若还有什么问题不是很清楚，可是加入【微信交流群】与其他考生进行交流，群里会有专业老师进行解答;也可直接【点击咨询】在线老师，会为各位考生就学历提升问题解疑答惑;关注【微信公众号】届时会及时通知各位考生进行报名、打印准考证，考试等等重要时间点!
"
教育部关于2020年4月全国高等教育自学考试延期举行的公告.txt,"[{'疫情': 1.0}, {'防控': 0.6591171164857431}, {'考试': 0.5204547381078645}, {'教育部': 0.49790699185259046}, {'指示精神': 0.4566354301211572}]","　　根据党中央、国务院关于新型冠状病毒感染的肺炎疫情防控工作有关指示精神和教育部相关通知要求，现结合疫情实际，经研究，原定于2020年4月11日至12日举行的全国高等教育自学考试推迟举行，具体考试时间将根据疫情防控进展情况另行通知。　　感谢广大考生的理解与支持。
教育部
2020年2月27日
"
关于2020年上半年高等教育自学考试考籍管理工作延期的通知.txt,"[{'工作': 1.0}, {'考籍': 0.3652792034320998}, {'申请': 0.3377930548041488}, {'疫情': 0.3284267866601315}, {'时间': 0.3086169928337934}]","各省辖市、济源示范区、省直管县招生办，有关主考学校：　　根据国家关于新型冠状病毒感染肺炎疫情防控工作部署和上级有关部门工作安排，为切实保障广大考生的生命安全和身体健康，维护社会正常秩序。对本次考籍管理相关工作做出如下调整：　　一、2020年上半年自学考试考籍转出工作延期，具体时间另行通知。　　二、自学考试上半年免考申请及在籍基本信息修改工作暂停办理。恢复受理时间视疫情形势另行通知。　　三、向主考学校申请实践环节和毕业论文报名工作延期，具体时间另行通知。
"
我省2020年4月自学考试报名工作顺利结束.txt,"[{'报名': 1.0}, {'报考': 0.9623878957202187}, {'考生': 0.7790341277698019}, {'课程': 0.7122400289425678}, {'考试': 0.6142302803687237}]","我省2020年4月自学考试网上报名工作于1月10日顺利结束。全省共设110个社会报名点（含设置在高校的9个社会报名点）。经统计，全省自考报名人数为64628人；总科次数为 177758科次，其中新生人数为 20093人。开考专业44个，其中本科31个，专科13个。报考规模与去年同期相比基本持平，考试将于4月11-12日统一安排在全省11个设区市的标准化考点进行。
本次我省自学考试报名工作在政策上进行了调整，在宣传上加大了力度。一、自主选择报考地点。考生网上报名时，可根据户籍或居住、就学、工作等就近选择报考地点，自行选择考区；二、实行网上缴费。考生网上选报课程后确认报考信息，生成支付订单，按照界面提示进入“江西省政务服务统一支付平台”缴费；三、实行电子《准考证》。今后不再发放原卡片式纸质《准考证》，考生办理转免考、实践课程报考或毕业申请等可登录自学考试网上报名平台自行打印电子《准考证》；四、新生网上缴纳《准考证》注册费。注册成功且选报了课程的新考生准考证费用不再由报点名收取，与课程报名考务费一并在网上缴纳；五、停止各类综改专业的课程报考，仍未毕业考生全部转报与其对应的自考专业课程。六、提前在网上发布《2020年4月全省自学考试报名温馨提示》，公布110个社会报名点的联系电话及报名详细地址，方便引导考生报考。
"
关于推迟2020年4月全国高等教育自学考试的公告.txt,"[{'考试': 1.0}, {'举行': 0.7364625554487069}, {'自学': 0.5962778366146656}, {'支持': 0.5673477403647756}, {'工作': 0.5409025111780975}]","根据教育部2月27日《关于2020年4月全国高等教育自学考试延期举行的公告》的要求，原定4月11至12日举行的全国高等教育自学考试推迟举行，考试具体时间视疫情防控工作另行向社会公布。 感谢广大考生的理解与支持！
江西省教育考试院
2020年2月28日
"
